date,stock_id,link,source,title,sentiment_score
2021-01-03 08:00:00,0050,https://money.udn.com/money/story/5607/5144163,經濟日報,0050勇奪2020年ETF吸金王 2021三趨勢最火 - 經濟日報,0.0
2021-01-07 08:00:00,0050,https://money.udn.com/money/story/5618/5155938?from=edn_referralnews_story_ch5592,經濟日報,拚火速填息！0050將於22日除息3.05元殖利率2.36% | 基金天地| 理財 - 經濟日報,0.0
2021-01-07 08:00:00,0050,https://money.udn.com/money/story/5618/5155938,經濟日報,拚火速填息！0050將於22日除息3.05元 殖利率2.36% - 經濟日報,0.1
2021-01-13 08:00:00,0050,https://money.udn.com/money/story/5618/5171748,經濟日報,0056晉升第三大ETF！與0050、00632R包辦前三強 - 經濟日報,0.0
2021-01-15 08:00:00,0050,https://udn.com/news/story/7251/5176455,經濟日報,0050總報酬率衝上543% 22日將除息3.05元 - 經濟日報,0.0
2021-01-17 08:00:00,0050,https://ctee.com.tw/news/fund/403149.html,工商時報,長抱0050 小資族也能配息、價差兩頭賺 - 工商時報,0.0
2021-01-18 08:00:00,0050,https://ctee.com.tw/wealth/tutor/404247.html,工商時報,進場前猶豫了？你可能不懂0050迷人之處 - 工商時報,0.0
2021-01-20 08:00:00,0050,https://ctee.com.tw/wealth/tutor/405770.html,工商時報,買了0050之後呢？一動作為投組加分 - 工商時報,0.0
2021-01-22 08:00:00,0050,https://news.cnyes.com/news/id/4562560,Anue鉅亨,0050除息首日貼息平均完成填息約28天| Anue鉅亨- 台股新聞 - Anue鉅亨,0.0
2021-01-22 08:00:00,0050,https://news.cnyes.com/news/id/4562560,Anue鉅亨,0050除息首日貼息 平均完成填息約28天 - Anue鉅亨,0.0
2021-02-03 08:00:00,0050,https://money.udn.com/money/story/5618/5229157?from=edn_referralnews_story_ch5592,經濟日報,債券版「小0050」來了！中信ESG債券ETF明掛牌| 基金天地| 理財 - 經濟日報,0.0
2021-02-03 08:00:00,0050,https://money.udn.com/money/story/5618/5229157?from=edn_referralnews_story_ch5592,經濟日報,債券版「小0050」來了！中信ESG債券ETF明掛牌 - 經濟日報,0.0
2021-02-07 08:00:00,0050,https://ctee.com.tw/news/stock/415214.html,工商時報,小資族買台積電、0050、0056？施昇輝：1關鍵判斷 - 工商時報,0.0
2021-02-08 08:00:00,0050,https://money.udn.com/money/story/5618/5241986,經濟日報,0050連結基金暴漲80% 2月起申購享零手續費| 基金天地| 理財 - 經濟日報,0.0
